,symbol,name,currency,exchange,mic_code,country,type
20303,501000,Guojin Xinxin Flexible Allocation Mixed Fund ,CNY,SSE,XSHG,China,Common Stock
20304,501001,Caitong Multi-Strategy Selected Mixed Securities Investment Fund,CNY,SSE,XSHG,China,Common Stock
20305,501005,China Universal Asset Management - CSI Media Index Fund,CNY,SSE,XSHG,China,Common Stock
20306,501007,China Universal CSI Internet Medical Treatment Theme Index Launched Fund ,CNY,SSE,XSHG,China,Common Stock
20307,501008,China Universal CSI Internet Health- China Universal CSI Fund,CNY,SSE,XSHG,China,Common Stock
20308,501009,China Universal CSI Biotechnology Theme Index Launched Fund ,CNY,SSE,XSHG,China,Common Stock
20309,501010,Ch Universal Biotech Index-C Fund,CNY,SSE,XSHG,China,Common Stock
20310,501011,China Universal CSI Traditional Chinese Medicine Index Launched Fund ,CNY,SSE,XSHG,China,Common Stock
20311,501012,China Universal CSI Traditional Chinese Medicine Index Launched Fund ,CNY,SSE,XSHG,China,Common Stock
20312,501015,"Caitong Fund Management Co., Ltd.- Star Upgrade Mix Fund",CNY,SSE,XSHG,China,Common Stock
20313,501016,Guotai CSI SWS Securities Industries Fund,CNY,SSE,XSHG,China,Common Stock
20314,501017,Guotai Rongfeng Extension Growth Flexible Allocation Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20315,501018,China Southern Crude Oil Security Investment Fund,CNY,SSE,XSHG,China,Common Stock
20316,501019,Guotai CNI Aerospace Military Index Fund,CNY,SSE,XSHG,China,Common Stock
20317,501021,Fortune SG CSI Health Care Fund,CNY,SSE,XSHG,China,Common Stock
20318,501022,Yinhua Xinsheng Flexible Allocation Mixed Fund ,CNY,SSE,XSHG,China,Common Stock
20319,501023,Ph Hk Stock Connect Sme Fund,CNY,SSE,XSHG,China,Common Stock
20320,501025,Penghua Hong Kong Stock Through CSI Hongkong Bank Investment Index Fund,CNY,SSE,XSHG,China,Common Stock
20321,501026,Caitong Multiple Strategy Fuxiang Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20322,501027,Guotai Rongxin Flexible Allocation Mixed Fund ,CNY,SSE,XSHG,China,Common Stock
20323,501028,Caitong Multi-strategy Furui Mixed Launched Fund ,CNY,SSE,XSHG,China,Common Stock
20324,501029,Fortune SG CSI Health Care Fund,CNY,SSE,XSHG,China,Common Stock
20325,501030,China Universal CSI Environment Governance Index Fund ,CNY,SSE,XSHG,China,Common Stock
20326,501031,China Universal CSI Environment Governance Index Fund ,CNY,SSE,XSHG,China,Common Stock
20327,501032,Caitong Fusheng Private Additional Offering Regular Open Flexible Allocation Mixed Launched Fund,CNY,SSE,XSHG,China,Common Stock
20328,501036,China Universal CSI 300 Index Launched Fund ,CNY,SSE,XSHG,China,Common Stock
20329,501037,China Universal CSI 300 Index Launched Fund ,CNY,SSE,XSHG,China,Common Stock
20330,501038,Yinhua Mingze Multi-strategy Regular Open Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20331,501039,China Universal Ruifeng Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20332,501040,China Universal Ruifeng Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20333,501043,China Universal CSI 300 Index Launched Fund ,CNY,SSE,XSHG,China,Common Stock
20334,501045,China Universal CSI 300 Index Launched Fund ,CNY,SSE,XSHG,China,Common Stock
20335,501046,Caitong Multiple Strategy Fuxiang Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20336,501047,China Universal CSI Hong Kong Stock Through High Dividend Investment Index Launched Fund,CNY,SSE,XSHG,China,Common Stock
20337,501048,China Universal CSI Hong Kong Stock Through High Dividend Investment Index Launched Fund,CNY,SSE,XSHG,China,Common Stock
20338,501049,Orient Red Ruixi Three-year Regular Open Flexible Allocation Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20339,501050,China Asset Management Company - SSE 50AH Selected Index Fund,CNY,SSE,XSHG,China,Common Stock
20340,501051,"Golden Trust SinoPac Fund Management Co., Ltd. - Huili Mixed Investment Fund",CNY,SSE,XSHG,China,Common Stock
20341,501053,Orient Red Target Selected 3-year Regular Open Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20342,501054,Orient Red Ruize 3-year Regular Open Flexible Allocation Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20343,501057,,CNY,SSE,XSHG,China,Common Stock
20344,501058,,CNY,SSE,XSHG,China,Common Stock
20345,501059,Western Leadbank CSI SOE Bonus Index Enhanced Fund ,CNY,SSE,XSHG,China,Common Stock
20346,501060,China International Capital Compnay Limited - CICC CSI Select Index Fund,CNY,SSE,XSHG,China,Common Stock
20347,501061,China International Capital Compnay Limited - CICC CSI Select Index Fund,CNY,SSE,XSHG,China,Common Stock
20348,501062,China Southern Air Holding - 3-Year Open-Ended Hybrid Fund,CNY,SSE,XSHG,China,Common Stock
20349,501063,China Universal Yuexiang Regular Open Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20350,501064,Guotai Asset Management Co-Guotai Selected Value Flexible Allocation Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20351,501065,CHINA UNIVERSAL ASSET MANAGEMEN,CNY,SSE,XSHG,China,Common Stock
20352,501066,Orient Securities Asset Management Co. Ltd. – Orient Red Hengyuan 5 years Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20353,501067,China Merchants Fund Management Co. - FTSE China A-H 50 Index Securities Investment Fund,CNY,SSE,XSHG,China,Common Stock
20354,501068,China Merchants Fund Management Co. - FTSE China A-H 50 Index Securities Investment Fund,CNY,SSE,XSHG,China,Common Stock
20355,501069,Huabao Fund Management Co. Ltd. - S&P China A Shares Quality Value Index Fund,CNY,SSE,XSHG,China,Common Stock
20356,501070,Guangfa Ruiyang - Three Years Fixed Mixing Fund,CNY,SSE,XSHG,China,Common Stock
20357,501071,Hongde 3-Year Closed Operation Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20358,501073,Huaan Fund Management - Sci and Tech Innovation Theme 3 Years Fund,CNY,SSE,XSHG,China,Common Stock
20359,501075,Wanjia Science & Technology Innovation 3Y Fund,CNY,SSE,XSHG,China,Common Stock
20360,501076,Penghua Fund Management Co. Ltd.,CNY,SSE,XSHG,China,Common Stock
20361,501077,Fullgoal Fund management Co - FG SCI Tech Invt 3Y CLS MXD,CNY,SSE,XSHG,China,Common Stock
20362,501078,GF Sci and Tech Innovation Theme  3 Years Closed Operation Flexible Allocation Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20363,501079,Dacheng Science Technology Innovation 3-Year Closed Operation Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20364,501080,CICC Science and Technology Innovation Theme 3-Year Closed Operation Flexible Allocation Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20365,501081,Zhong Ou Asset Management Co. Ltd.,CNY,SSE,XSHG,China,Common Stock
20366,501082,Bosera Science & Technology Innovation Theme 3-Year Closed Operation Flexible Allocation Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20367,501083,Yinhua Fund Management Co Ltd. - Science and Technology Innovation Theme 3 Year Closed Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20368,501085,Caitong Fund Management Co. LTD. - Sci and Tech Innovation Theme 3 Years Fund,CNY,SSE,XSHG,China,Common Stock
20369,501086,Hwabao MSCI China A Inclusion ESG General Index Fund ,CNY,SSE,XSHG,China,Common Stock
20370,501087,"Bank of Communications Schroder Fund Management Co., Ltd. - Bocom Ruifeng 3 Year Classified Mixed Fu",CNY,SSE,XSHG,China,Common Stock
20371,501088,Harvest Ruihong 3-year Regular Open Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20372,501089,Founder Fubon Fund Mgmnt Co Ltd. - Csi Consumer Staples Bonus Index Fund,CNY,SSE,XSHG,China,Common Stock
20373,501090,Huabao International Holdings Limited,CNY,SSE,XSHG,China,Common Stock
20374,501091,Harvest Fund Management - Harvest Ruixi 3 Year Closed Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20375,501092,BOCOM SCHRODERS FUND MGMT CO LT,CNY,SSE,XSHG,China,Common Stock
20376,501093,China Asset Management - Camc Xiangyang 2 Year Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20377,501095,BOC International ,CNY,SSE,XSHG,China,Common Stock
20378,501096,CPIC FUND MANAGEMENT CO LTD GTJ,CNY,SSE,XSHG,China,Common Stock
20379,501097,Science and Technology Innovation 3-year Closed Operation Fund,CNY,SSE,XSHG,China,Common Stock
20380,501098,CCB Principal Asset Management Co. - CCBP SCI Technology Innovation 3 years MXD,CNY,SSE,XSHG,China,Common Stock
20381,501099,Ping An Fund Management Company Limited - Pa Sci Tech Invt 3Y Closed Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20385,501186,China Asset Management Company - 3 Years Strategic Allocation Flexible Fund,CNY,SSE,XSHG,China,Common Stock
20386,501188,China Universal 3-year Closed Operation Strategy Placement Flexible Allocation Mixed Fund ,CNY,SSE,XSHG,China,Common Stock
20387,501189,Harvest Fund Management Co. Ltd. - 3 Years Strategic Allocation Flexible and Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20389,501200,MINSHENG ROYAL FUND MANAGEMENT CO - MSR SciTech Investment 3 Year Mixed Fund,CNY,SSE,XSHG,China,Common Stock
20390,501201,HOTLAND INNOVATION ASSET MGT CO,CNY,SSE,XSHG,China,Common Stock
20391,501202,Huatai Tianjin Securities Asset Management Company Ltd. -  HTZJ Sci-Tech Investment 3 Year Class Mix,CNY,SSE,XSHG,China,Common Stock
20392,501203,E Fund Management Co. - Innovates Closed Hybrid 18m Cny Fund,CNY,SSE,XSHG,China,Common Stock
20393,501205,Penghua Fund Management Co. Ltd. - Innovation Fund,CNY,SSE,XSHG,China,Common Stock
20394,501206,China Universal Asset Management - China Universal Innovation Closed Hybrid 18-month  Fund,CNY,SSE,XSHG,China,Common Stock
20395,501207,China Asset Management Company - Huaxia Innovation Closed Hybrid Fund,CNY,SSE,XSHG,China,Common Stock
20396,501208,Lombarda China Fund Management - Sino European Innovates Closed Mixed 18m Cny Fund,CNY,SSE,XSHG,China,Common Stock
20397,501209,Yinhua Fund Management Co Ltd - YH FJ FD Bev MX Lof Fund,CNY,SSE,XSHG,China,Common Stock
20398,501210,"Bank of Communications Schroder Fund Management Co., Ltd - BOCOM SCHRODERS PREMIER SELECTION XINGGU",CNY,SSE,XSHG,China,Common Stock
20399,501211,MINSHENG ROYAL FUND MANAGEMENT CO - MS YX 6M RGL OP MX LOF Fund,CNY,SSE,XSHG,China,Common Stock
20400,501212,GF FUND MANAGEMENT CO LTD - OPTIM ALLOCATION 1YR CLOSED MIXED Fund,CNY,SSE,XSHG,China,Common Stock
