,symbol,name,currency,exchange,mic_code,country,type
2,000001,"Ping An Bank Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
3,000002,"China Vanke Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
4,000004,"Shenzhen GuoHua Network Security Technology Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
5,000005,Shenzhen Fountain Corporation,CNY,SZSE,XSHE,China,Common Stock
6,000006,Shenzhen Zhenye ,CNY,SZSE,XSHE,China,Common Stock
7,000007,"Shenzhen Quanxinhao Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
8,000008,"China High-Speed Railway Technology Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
9,000009,"China Baoan Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
10,000010,"Shenzhen Ecobeauty Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
11,000011,Shenzhen Properties & Resources Development ,CNY,SZSE,XSHE,China,Common Stock
12,000012,"CSG Holding Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
13,000014,"Shahe Industrial Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
14,000016,"Konka Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
15,000017,Shenzhen China Bicycle Company ,CNY,SZSE,XSHE,China,Common Stock
16,000019,"Shenzhen Cereals Holdings Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
17,000020,"Shenzhen Zhongheng Huafa Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
19,000021,"Shenzhen Kaifa Technology Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
20,000023,"Shenzhen Universe Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
21,000025,"Shenzhen Tellus Holding Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
22,000026,"FIYTA Precision Technology Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
23,000027,"Shenzhen Energy Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
24,000028,China National Accord Medicines Corporation Ltd.,CNY,SZSE,XSHE,China,Common Stock
25,000029,Shenzhen Special Economic Zone Real Estate & Properties ,CNY,SZSE,XSHE,China,Common Stock
26,000030,FAWER Automotive Parts Limited Company,CNY,SZSE,XSHE,China,Common Stock
27,000031,"Grandjoy Holdings Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
28,000032,"Shenzhen SED Industry Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
29,000034,"Digital China Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
30,000035,China Tianying Inc.,CNY,SZSE,XSHE,China,Common Stock
31,000036,China Union Holdings Ltd.,CNY,SZSE,XSHE,China,Common Stock
32,000037,"Shenzhen Nanshan Power Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
33,000038,"Shenzhen Capstone Industrial Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
34,000039,China International Marine Containers ,CNY,SZSE,XSHE,China,Common Stock
35,000040,"Tunghsu Azure Renewable Energy Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
37,000042,"Shenzhen Centralcon Investment Holding Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
38,000045,Shenzhen Textile ,CNY,SZSE,XSHE,China,Common Stock
39,000046,"Oceanwide Holdings Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
40,000048,"Shenzhen Kingkey Smart Agriculture Times Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
41,000049,"Shenzhen Desay Battery Technology Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
42,000050,"Tianma Microelectronics Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
44,000055,"China Fangda Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
45,000056,"Shenzhen Wongtee International Enterprise Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
46,000058,"Shenzhen SEG Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
47,000059,"North Huajin Chemical Industries Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
48,000060,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,CNY,SZSE,XSHE,China,Common Stock
50,000061,"Shenzhen Agricultural Products Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
51,000062,"Shenzhen Huaqiang Industry Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
52,000063,ZTE Corporation,CNY,SZSE,XSHE,China,Common Stock
53,000065,Norinco International Cooperation Ltd.,CNY,SZSE,XSHE,China,Common Stock
54,000066,"China Greatwall Technology Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
55,000068,"Shenzhen Huakong Seg Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
56,000069,"Shenzhen Overseas Chinese Town Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
58,000070,"Shenzhen SDG Information Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
60,000078,"Shenzhen Neptunus Bioengineering Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
63,000088,"Shenzhen Yan Tian Port Holdings Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
64,000089,"Shenzhen Airport Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
65,000090,"Shenzhen Tagen Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
66,000096,"Shenzhen Guangju Energy Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
67,000099,"CITIC Offshore Helicopter Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
71,000100,TCL Technology Group Corporation,CNY,SZSE,XSHE,China,Common Stock
