,symbol,name,currency,exchange,mic_code,country,type
4416,08GPG,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
4422,08MPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
4423,08MPR,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8980,11AGG,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8981,11AMD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8985,11DPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8986,11DPR,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8987,11GPG,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8993,11MPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8994,11MPR,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8998,11QPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
11719,1STCUS,The First Custodian Fund ,INR,BSE,XBOM,India,Common Stock
12123,20MICRONS,20 Microns Limited,INR,BSE,XBOM,India,Common Stock
12362,21STCENMGM,Twentyfirst Century Management Services Limited,INR,BSE,XBOM,India,Common Stock
16958,360ONE,360 ONE WAM LIMITED,INR,BSE,XBOM,India,Common Stock
17827,3IINFOTECH,3i Infotech Limited,INR,BSE,XBOM,India,Common Stock
18013,3MINDIA,3M India Limited,INR,BSE,XBOM,India,Common Stock
18101,3PLAND,3P LAND HOLDINGS LTD.,INR,BSE,XBOM,India,Common Stock
20144,4THGEN,Fourth Generation Information Systems Limited,INR,BSE,XBOM,India,Common Stock
22424,5PAISA,5paisa Capital Limited,INR,BSE,XBOM,India,Common Stock
24920,63MOONS,63 moons technologies limited,INR,BSE,XBOM,India,Common Stock
28059,7NR,7NR Retail Limited,INR,BSE,XBOM,India,Common Stock
28132,7SEASL,7SEAS ENTERTAINMENT LIMITED,INR,BSE,XBOM,India,Common Stock
28159,7TEC,Saven Technologies Limited,INR,BSE,XBOM,India,Common Stock
31298,A2ZINFRA,A2Z Infra Engineering Limited,INR,BSE,XBOM,India,Common Stock
31473,AAATECH,AAA TECHNOLOGIES LIMITED,INR,BSE,XBOM,India,Common Stock
31505,AADIIND,Aadi Industries Limited,INR,BSE,XBOM,India,Common Stock
31536,AAIL,Akar Auto Industries Limited,INR,BSE,XBOM,India,Common Stock
31552,AAL,A-1 Acid Limited,INR,BSE,XBOM,India,Common Stock
31580,AANANDALAK,Aananda Lakshmi Spinning Mills Limited,INR,BSE,XBOM,India,Common Stock
31581,AANCHALISP,Aanchal Ispat Limited,INR,BSE,XBOM,India,Common Stock
31608,AAPLUSTRAD,AA Plus Tradelink Limited,INR,BSE,XBOM,India,Common Stock
31619,AARNAV,AARNAV FASHIONS LIMITED,INR,BSE,XBOM,India,Common Stock
31621,AARTECH,Aartech Solonics Limited,INR,BSE,XBOM,India,Common Stock
31622,AARTIDRUGS,Aarti Drugs Limited,INR,BSE,XBOM,India,Common Stock
31624,AARTIIND,Aarti Industries Limited,INR,BSE,XBOM,India,Common Stock
31627,AARTI.RE,Aarti Surfactants Limited,INR,BSE,XBOM,India,Common Stock
31630,AARTISURF,Aarti Surfactants Limited,INR,BSE,XBOM,India,Common Stock
31632,AARVEEDEN,Aarvee Denims and Exports Limited,INR,BSE,XBOM,India,Common Stock
31637,AASHKA,Aashka Hospitals Limited,INR,BSE,XBOM,India,Common Stock
31639,AASTAFIN,Aastamangalam Finance Limited,INR,BSE,XBOM,India,Common Stock
31660,AAVAS,AAVAS Financiers Limited,INR,BSE,XBOM,India,Common Stock
