,symbol,name,currency,exchange,mic_code,country,type
12083,20MICRONS,20 Microns Limited,INR,NSE,XNSE,India,Common Stock
12323,21STCENMGM,21ST CENTURY MANAG,INR,NSE,XNSE,India,Common Stock
16911,360ONE,360 One Wam Limited,INR,NSE,XNSE,India,Common Stock
17779,3IINFOLTD,3i Infotech Limited,INR,NSE,XNSE,India,Common Stock
17967,3MINDIA,3M India Limited,INR,NSE,XNSE,India,Common Stock
18054,3PLAND,3P LAND HOLDINGS L,INR,NSE,XNSE,India,Common Stock
18107,3RDROCK,3rd Rock Multimedia Limited,INR,NSE,XNSE,India,Common Stock
20094,4THDIM,Fourth Dimension Solutions Limited,INR,NSE,XNSE,India,Common Stock
22375,5PAISA,5paisa Capital Limited,INR,NSE,XNSE,India,Common Stock
24868,63MOONS,63 Moons Technologies Ltd,INR,NSE,XNSE,India,Common Stock
31237,A2ZINFRA,A2Z Infra Engineering Limited,INR,NSE,XNSE,India,Common Stock
31411,AAATECH,AAA Technologies Limited,INR,NSE,XNSE,India,Common Stock
31483,AAKASH,Aakash Exploration Services Limited,INR,NSE,XNSE,India,Common Stock
31500,AAL.ST,Arihant Academy Limited,INR,NSE,XNSE,India,Common Stock
31551,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INR,NSE,XNSE,India,Common Stock
31553,AARON,Aaron Industries Limited,INR,NSE,XNSE,India,Common Stock
31556,AARTIDRUGS,Aarti Drugs Limited,INR,NSE,XNSE,India,Common Stock
31557,AARTIIND,Aarti Industries Limited,INR,NSE,XNSE,India,Common Stock
31559,AARTIPHARM,Aarti Pharmalabs Limited,INR,NSE,XNSE,India,Common Stock
31560,AARTI.RE,Aarti Surfactants Limited,INR,NSE,XNSE,India,Common Stock
31563,AARTISURF,Aarti Surfactants Limited,INR,NSE,XNSE,India,Common Stock
31564,AARVEEDEN,Aarvee Denims and Exports Limited,INR,NSE,XNSE,India,Common Stock
31566,AARVI,Aarvi Encon Limited,INR,NSE,XNSE,India,Common Stock
31593,AAVAS,Aavas Financiers Limited,INR,NSE,XNSE,India,Common Stock
31637,ABAN,Aban Offshore Limited,INR,NSE,XNSE,India,Common Stock
31645,ABB,ABB India Limited,INR,NSE,XNSE,India,Common Stock
31660,ABBOTINDIA,Abbott India Limited,INR,NSE,XNSE,India,Common Stock
31678,ABCAPITAL,Aditya Birla Capital Limited,INR,NSE,XNSE,India,Common Stock
31691,ABCOTS.SM,AB COTSPIN INDIA L,INR,NSE,XNSE,India,Common Stock
31726,ABFRL,Aditya Birla Fashion and Retail Limited,INR,NSE,XNSE,India,Common Stock
31754,ABINFRA.SM,A B INFRABUILD LTD,INR,NSE,XNSE,India,Common Stock
31778,ABMINTLLTD,ABM International Limited,INR,NSE,XNSE,India,Common Stock
31847,ABSLAMC,Aditya Birla Sun Life AMC Limited,INR,NSE,XNSE,India,Common Stock
32018,ACC,ACC Limited,INR,NSE,XNSE,India,Common Stock
32029,ACCELYA,Accelya Solutions India Limited,INR,NSE,XNSE,India,Common Stock
32038,ACCORD.SM,ACCORD SYNERGY LTD,INR,NSE,XNSE,India,Common Stock
32042,ACCURACY,Accuracy Shipping Limited,INR,NSE,XNSE,India,Common Stock
32060,ACE,Action Construction Equipment Limited,INR,NSE,XNSE,India,Common Stock
32066,ACEINTEG,Ace Integrated Solutions Limited,INR,NSE,XNSE,India,Common Stock
32109,ACI,Archean Chemical Industries Limited,INR,NSE,XNSE,India,Common Stock
32230,ACRYSIL,Acrysil Limited,INR,NSE,XNSE,India,Common Stock
32316,ADANIENT,Adani Enterprises Limited,INR,NSE,XNSE,India,Common Stock
32318,ADANIGREEN,Adani Green Energy Limited,INR,NSE,XNSE,India,Common Stock
32319,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INR,NSE,XNSE,India,Common Stock
32321,ADANIPOWER,Adani Power Limited,INR,NSE,XNSE,India,Common Stock
32324,ADANITRANS,Adani Transmissions Limited,INR,NSE,XNSE,India,Common Stock
32409,ADFFOODS,ADF Foods Limited,INR,NSE,XNSE,India,Common Stock
32470,ADL,Archidply Decor Limited,INR,NSE,XNSE,India,Common Stock
32527,ADORWELD,Ador Welding Limited,INR,NSE,XNSE,India,Common Stock
32553,ADROITINFO,Adroit Infotech Limited,INR,NSE,XNSE,India,Common Stock
32586,ADSL,Allied Digital Services Limited,INR,NSE,XNSE,India,Common Stock
32623,ADVANIHOTR,Advani Hotels & Resorts ,INR,NSE,XNSE,India,Common Stock
32627,ADVENZYMES,Advanced Enzyme Technologies Limited,INR,NSE,XNSE,India,Common Stock
32732,AEGISCHEM,Aegis Logistics Limited,INR,NSE,XNSE,India,Common Stock
