,symbol,name,currency,exchange,mic_code,country,type
4383,08GPG,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
4389,08MPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
4390,08MPR,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8944,11AGG,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8945,11AMD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8949,11DPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8950,11DPR,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8951,11GPG,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8957,11MPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8958,11MPR,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
8962,11QPD,Nippon India Mutual Fund,INR,BSE,XBOM,India,Common Stock
11679,1STCUS,The First Custodian Fund ,INR,BSE,XBOM,India,Common Stock
12083,20MICRONS,20 Microns Limited,INR,NSE,XNSE,India,Common Stock
12084,20MICRONS,20 Microns Limited,INR,BSE,XBOM,India,Common Stock
12322,21STCENMGM,Twentyfirst Century Management Services Limited,INR,BSE,XBOM,India,Common Stock
12323,21STCENMGM,21ST CENTURY MANAG,INR,NSE,XNSE,India,Common Stock
16911,360ONE,360 One Wam Limited,INR,NSE,XNSE,India,Common Stock
16912,360ONE,360 ONE WAM LIMITED,INR,BSE,XBOM,India,Common Stock
17779,3IINFOLTD,3i Infotech Limited,INR,NSE,XNSE,India,Common Stock
17780,3IINFOTECH,3i Infotech Limited,INR,BSE,XBOM,India,Common Stock
17966,3MINDIA,3M India Limited,INR,BSE,XBOM,India,Common Stock
17967,3MINDIA,3M India Limited,INR,NSE,XNSE,India,Common Stock
18054,3PLAND,3P LAND HOLDINGS L,INR,NSE,XNSE,India,Common Stock
18055,3PLAND,3P LAND HOLDINGS LTD.,INR,BSE,XBOM,India,Common Stock
18107,3RDROCK,3rd Rock Multimedia Limited,INR,NSE,XNSE,India,Common Stock
20094,4THDIM,Fourth Dimension Solutions Limited,INR,NSE,XNSE,India,Common Stock
20095,4THGEN,Fourth Generation Information Systems Limited,INR,BSE,XBOM,India,Common Stock
22374,5PAISA,5paisa Capital Limited,INR,BSE,XBOM,India,Common Stock
22375,5PAISA,5paisa Capital Limited,INR,NSE,XNSE,India,Common Stock
24868,63MOONS,63 Moons Technologies Ltd,INR,NSE,XNSE,India,Common Stock
24869,63MOONS,63 moons technologies limited,INR,BSE,XBOM,India,Common Stock
28003,7NR,7NR Retail Limited,INR,BSE,XBOM,India,Common Stock
28076,7SEASL,7SEAS ENTERTAINMENT LIMITED,INR,BSE,XBOM,India,Common Stock
28103,7TEC,Saven Technologies Limited,INR,BSE,XBOM,India,Common Stock
31236,A2ZINFRA,A2Z Infra Engineering Limited,INR,BSE,XBOM,India,Common Stock
31237,A2ZINFRA,A2Z Infra Engineering Limited,INR,NSE,XNSE,India,Common Stock
31410,AAATECH,AAA TECHNOLOGIES LIMITED,INR,BSE,XBOM,India,Common Stock
31411,AAATECH,AAA Technologies Limited,INR,NSE,XNSE,India,Common Stock
31442,AADIIND,Aadi Industries Limited,INR,BSE,XBOM,India,Common Stock
31473,AAIL,Akar Auto Industries Limited,INR,BSE,XBOM,India,Common Stock
31483,AAKASH,Aakash Exploration Services Limited,INR,NSE,XNSE,India,Common Stock
31485,AAL,A-1 Acid Limited,INR,BSE,XBOM,India,Common Stock
31500,AAL.ST,Arihant Academy Limited,INR,NSE,XNSE,India,Common Stock
31517,AANANDALAK,Aananda Lakshmi Spinning Mills Limited,INR,BSE,XBOM,India,Common Stock
31518,AANCHALISP,Aanchal Ispat Limited,INR,BSE,XBOM,India,Common Stock
31544,AAPLUSTRAD,AA Plus Tradelink Limited,INR,BSE,XBOM,India,Common Stock
31551,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INR,NSE,XNSE,India,Common Stock
31552,AARNAV,AARNAV FASHIONS LIMITED,INR,BSE,XBOM,India,Common Stock
31553,AARON,Aaron Industries Limited,INR,NSE,XNSE,India,Common Stock
31554,AARTECH,Aartech Solonics Limited,INR,BSE,XBOM,India,Common Stock
31555,AARTIDRUGS,Aarti Drugs Limited,INR,BSE,XBOM,India,Common Stock
31556,AARTIDRUGS,Aarti Drugs Limited,INR,NSE,XNSE,India,Common Stock
31557,AARTIIND,Aarti Industries Limited,INR,NSE,XNSE,India,Common Stock
31558,AARTIIND,Aarti Industries Limited,INR,BSE,XBOM,India,Common Stock
31559,AARTIPHARM,Aarti Pharmalabs Limited,INR,NSE,XNSE,India,Common Stock
31560,AARTI.RE,Aarti Surfactants Limited,INR,NSE,XNSE,India,Common Stock
31561,AARTI.RE,Aarti Surfactants Limited,INR,BSE,XBOM,India,Common Stock
31562,AARTISURF,Aarti Surfactants Limited,INR,BSE,XBOM,India,Common Stock
31563,AARTISURF,Aarti Surfactants Limited,INR,NSE,XNSE,India,Common Stock
31564,AARVEEDEN,Aarvee Denims and Exports Limited,INR,NSE,XNSE,India,Common Stock
31565,AARVEEDEN,Aarvee Denims and Exports Limited,INR,BSE,XBOM,India,Common Stock
31566,AARVI,Aarvi Encon Limited,INR,NSE,XNSE,India,Common Stock
31569,AASHKA,Aashka Hospitals Limited,INR,BSE,XBOM,India,Common Stock
31571,AASTAFIN,Aastamangalam Finance Limited,INR,BSE,XBOM,India,Common Stock
31592,AAVAS,AAVAS Financiers Limited,INR,BSE,XBOM,India,Common Stock
31593,AAVAS,Aavas Financiers Limited,INR,NSE,XNSE,India,Common Stock
31607,AAYUSH,Aayush Food and Herbs Limited,INR,BSE,XBOM,India,Common Stock
31637,ABAN,Aban Offshore Limited,INR,NSE,XNSE,India,Common Stock
31638,ABAN,Aban Offshore Limited,INR,BSE,XBOM,India,Common Stock
31640,ABANSENT,ABans Enterprises Limited,INR,BSE,XBOM,India,Common Stock
31642,ABATEAS,ABATE AS INDUSTRIES LIMITED,INR,BSE,XBOM,India,Common Stock
31645,ABB,ABB India Limited,INR,NSE,XNSE,India,Common Stock
31646,ABB,ABB India Limited,INR,BSE,XBOM,India,Common Stock
31659,ABBOTINDIA,Abbott India Limited,INR,BSE,XBOM,India,Common Stock
31660,ABBOTINDIA,Abbott India Limited,INR,NSE,XNSE,India,Common Stock
31678,ABCAPITAL,Aditya Birla Capital Limited,INR,NSE,XNSE,India,Common Stock
