,symbol,name,currency,exchange,mic_code,country,type
31480,AACG,ATA Creativity Global,USD,NASDAQ,XNMS,United States,Depositary Receipt
31481,AACI,Armada Acquisition Corp. I,USD,NASDAQ,XNMS,United States,Common Stock
31482,AACIU,Armada Acquisition Corp. I Unit,USD,NASDAQ,XNMS,United States,Common Stock
31483,AACIW,Armada Acquisition Corp. I,USD,NASDAQ,XNMS,United States,Common Stock
31484,AACOU,Advancit Acquisition Corp. I,USD,NASDAQ,XNCM,United States,Common Stock
31496,AADI,"Aadi Bioscience, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
31542,AAL,American Airlines Group Inc,USD,NASDAQ,XNGS,United States,Common Stock
31561,AAME,Atlantic American Corp,USD,NASDAQ,XNMS,United States,Common Stock
31576,AAOI,Applied Optoelectronics Inc,USD,NASDAQ,XNMS,United States,Common Stock
31577,AAON,AAON Inc,USD,NASDAQ,XNGS,United States,Common Stock
31587,AAPL,Apple Inc,USD,NASDAQ,XNGS,United States,Common Stock
31635,AATC,Autoscope Technologies Corporation,USD,NASDAQ,XNCM,United States,Common Stock
31662,AAWW,Atlas Air Worldwide Holdings Inc,USD,NASDAQ,XNGS,United States,Common Stock
31741,ABCB,Ameris Bancorp,USD,NASDAQ,XNGS,United States,Common Stock
31749,ABCL,AbCellera Biologics Inc,USD,NASDAQ,XNGS,United States,Common Stock
31750,ABCM,Abcam PLC,USD,NASDAQ,XNGS,United States,American Depositary Receipt
31775,ABEO,Abeona Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock
31796,ABGI,ABG Acquisition Corp. I,USD,NASDAQ,XNCM,United States,Common Stock
31816,ABIO,ARCA biopharma Inc,USD,NASDAQ,XNCM,United States,Common Stock
31838,ABMD,ABIOMED Inc,USD,NASDAQ,XNGS,United States,Common Stock
31855,ABNB,"Airbnb, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
31872,ABOS,"Acumen Pharmaceuticals, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
31873,ABP,2,USD,NASDAQ,XNMS,United States,Common Stock
31907,ABSI,Absci Corporation,USD,NASDAQ,XNGS,United States,Common Stock
31915,ABST,Absolute Software Corporation,USD,NASDAQ,XNGS,United States,Common Stock
31934,ABUS,Arbutus Biopharma Corp,USD,NASDAQ,XNGS,United States,Common Stock
31937,ABVC,American BriVision (Holding) Corporation,USD,NASDAQ,XNCM,United States,Common Stock
31981,ACAB,Atlantic Coastal Acquisition Corp. II,USD,NASDAQ,XNMS,United States,Common Stock
31982,ACABU,Atlantic Coastal Acquisition Corp II,USD,NASDAQ,XNMS,United States,Unit
