,symbol,name,currency,exchange,mic_code,country,type
31160,A,"Agilent Technologies, Inc.",USD,NYSE,XNYS,United States,Common Stock
31444,AA,Alcoa Corp,USD,NYSE,XNYS,United States,Common Stock
31473,AAC,AAC Holdings Inc,USD,NYSE,XNYS,United States,Common Stock
31488,AAC.UN,Ares Acquisition Corporation,USD,NYSE,XNYS,United States,Common Stock
31490,AAC.WT,Ares Acquisition Corporation Re,USD,NYSE,XNYS,United States,Common Stock
31523,AAIC,Arlington Asset Investment Corp.,USD,NYSE,XNYS,United States,Common Stock
31524,AAIC.PR.B,Arlington Asset Investment Corp.,USD,NYSE,XNYS,United States,Preferred Stock
31525,AAIC.PR.C,Arlington Asset Investment Corp.,USD,NYSE,XNYS,United States,Preferred Stock
31529,AAIN,Arlington Asset Investment Corp,USD,NYSE,XNYS,United States,Preferred Stock
31560,AAMC,Altisource Asset Management Corp,USD,NYSE,XASE,United States,Common Stock
31563,AAM.PR.A,"Apollo Global Management, Inc.",USD,NYSE,XNYS,United States,Common Stock
31564,AAM.PR.B,"Apollo Global Management, Inc.",USD,NYSE,XNYS,United States,Common Stock
31567,AAN,Aaron's Inc,USD,NYSE,XNYS,United States,Common Stock
31578,AAP,Advance Auto Parts Inc,USD,NYSE,XNYS,United States,Common Stock
31605,AAQC,Accelerate Acquisition Corp.,USD,NYSE,XNYS,United States,Common Stock
31606,AAQC.UN,Accelerate Acquisition Corp.,USD,NYSE,XNYS,United States,Unit
31634,AAT,American Assets Trust Inc,USD,NYSE,XNYS,United States,REIT
31645,AAU,Almaden Minerals Ltd,USD,NYSE,XASE,United States,Common Stock
31671,AB,AllianceBernstein Holding LP,USD,NYSE,XNYS,United States,Limited Partnership
31708,ABB,ABB Ltd,USD,NYSE,XNYS,United States,Depositary Receipt
31726,ABBV,AbbVie Inc,USD,NYSE,XNYS,United States,Common Stock
31732,ABC,AmerisourceBergen Corp,USD,NYSE,XNYS,United States,Common Stock
31780,ABEV,Ambev SA,USD,NYSE,XNYS,United States,Depositary Receipt
31790,ABG,Asbury Automotive Group Inc,USD,NYSE,XNYS,United States,Common Stock
31834,ABM,ABM Industries Inc,USD,NYSE,XNYS,United States,Common Stock
31884,ABR,Arbor Realty Trust Inc,USD,NYSE,XNYS,United States,REIT
31892,ABR-F,Arbor Realty Trust 6.25% Series,USD,NYSE,XNYS,United States,Preferred Stock
31893,ABR.PR.D,"Arbor Realty Trust, Inc.",USD,NYSE,XNYS,United States,Preferred Stock
31894,ABR.PR.E,"Arbor Realty Trust, Inc.",USD,NYSE,XNYS,United States,Preferred Stock
31919,ABT,Abbott Laboratories,USD,NYSE,XNYS,United States,Common Stock
31961,AC,Associated Capital Group Inc,USD,NYSE,XNYS,United States,Common Stock
31977,ACA,Arcosa Inc,USD,NYSE,XNYS,United States,Common Stock
32049,ACAQ,Athena Consumer Acquisition Corp.,USD,NYSE,XNYS,United States,Common Stock
32053,ACAQ.UN,Athena Consumer Acquisition Corp.,USD,NYSE,XNYS,United States,Unit
32098,ACCO,ACCO Brands Corp,USD,NYSE,XNYS,United States,Common Stock
32111,ACDI,Ascendant Digital Acquisition Corp. III,USD,NYSE,XNYS,United States,Common Stock
32112,ACDI.UN,Ascendant Digital Acquisition Corp. III,USD,NYSE,XNYS,United States,Unit
32131,ACEL,Accel Entertainment Inc,USD,NYSE,XNYS,United States,Common Stock
32167,ACHR,Archer Aviation Inc.,USD,NYSE,XNYS,United States,Common Stock
32172,ACI,Albertsons Cos Inc,USD,NYSE,XNYS,United States,Common Stock
32207,ACM,AECOM,USD,NYSE,XNYS,United States,Common Stock
32217,ACN,Accenture PLC,USD,NYSE,XNYS,United States,Common Stock
32250,ACP.PR.A,Aberdeen Income Credit Strategies Fund,USD,NYSE,XNYS,United States,Preferred Stock
32264,ACR,ACRES Commercial Realty Corp.,USD,NYSE,XNYS,United States,Common Stock
32270,ACRE,Ares Commercial Real Estate Corp,USD,NYSE,XNYS,United States,REIT
32282,ACRO,Acropolis Infrastructure Acquisition Corp.,USD,NYSE,XNYS,United States,Common Stock
32285,ACRO.UN,Acropolis Infrastructure Acquisition Corp.,USD,NYSE,XNYS,United States,Unit
32287,ACR.PR.C,ACRES Commercial Realty Corp.,USD,NYSE,XNYS,United States,Preferred Stock
32288,ACR.PR.D,ACRES Commercial Realty Corp.,USD,NYSE,XNYS,United States,Preferred Stock
32325,ACU,Acme United Corp,USD,NYSE,XASE,United States,Common Stock
32413,ADC,Agree Realty Corp,USD,NYSE,XNYS,United States,REIT
32423,ADC.PR.A,Agree Realty Corporation,USD,NYSE,XNYS,United States,Preferred Stock
32424,ADCT,ADC Therapeutics SA,USD,NYSE,XNYS,United States,Common Stock
32468,ADEX,Adit EdTech Acquisition Corp.,USD,NYSE,XNYS,United States,Common Stock
32469,ADEX.UN,Adit EdTech Acquisition Corp.,USD,NYSE,XNYS,United States,Unit
32470,ADEX.WT,Adit EdTech Acquisition Corp. R,USD,NYSE,XNYS,United States,Common Stock
32540,ADM,Archer-Daniels-Midland Co,USD,NYSE,XNYS,United States,Common Stock
32577,ADNT,Adient PLC,USD,NYSE,XNYS,United States,Common Stock
32611,ADRA.UN,Adara Acquisition Corp.,USD,NYSE,XASE,United States,Unit
32612,ADRA.WT,Adara Acquisition Corp.,USD,NYSE,XASE,United States,Common Stock
32618,ADRT,Ault Disruptive Technologies Corporation,USD,NYSE,XASE,United States,Common Stock
32619,ADRT.UN,,USD,NYSE,XASE,United States,Unit
32657,ADT,ADT Inc,USD,NYSE,XNYS,United States,Common Stock
32740,AE,Adams Resources & Energy Inc,USD,NYSE,XASE,United States,Common Stock
32776,AEE,Ameren Corp,USD,NYSE,XNYS,United States,Common Stock
32785,AEFC,Aegon Funding Company LLC 5.10%,USD,NYSE,XNYS,United States,Common Stock
32789,AEG,Aegon NV,USD,NYSE,XNYS,United States,Common Stock
32813,AEL,American Equity Investment Life Holding Co,USD,NYSE,XNYS,United States,Common Stock
32816,AEL-A,American Equity Investment Life Holding Co,USD,NYSE,XNYS,United States,Preferred Stock
32819,AEL.PR.B,American Equity Investment Life Holding Company,USD,NYSE,XNYS,United States,Preferred Stock
32823,AEM,Agnico Eagle Mines Ltd,USD,NYSE,XNYS,United States,Common Stock
32838,AENZ,Aenza S.A.A.,USD,NYSE,XNYS,United States,Common Stock
32839,AEO,American Eagle Outfitters Inc,USD,NYSE,XNYS,United States,Common Stock
32863,AER,AerCap Holdings NV,USD,NYSE,XNYS,United States,Common Stock
32878,AES,AES Corp-VA,USD,NYSE,XNYS,United States,Common Stock
32886,AESC,The AES Corporation,USD,NYSE,XNYS,United States,Common Stock
32898,AEVA,"Aeva Technologies, Inc.",USD,NYSE,XNYS,United States,Common Stock
32899,AEVA.WT,"Aeva Technologies, Inc. Redeema",USD,NYSE,XNYS,United States,Common Stock
32965,AFG,American Financial Group Inc-OH,USD,NYSE,XNYS,United States,Common Stock
32966,AFGB,American Financial Group Inc-OH,USD,NYSE,XNYS,United States,Preferred Stock
32967,AFGC,Africa Growth Corp,USD,NYSE,XNYS,United States,Preferred Stock
32968,AFGD,"American Financial Group, Inc.",USD,NYSE,XNYS,United States,Common Stock
32969,AFGE,American Financial Group Inc-OH,USD,NYSE,XNYS,United States,Preferred Stock
32989,AFL,Aflac Inc,USD,NYSE,XNYS,United States,Common Stock
33055,AFTR,AfterNext HealthTech Acquisition Corp.,USD,NYSE,XNYS,United States,Common Stock
33056,AFTR.UN,AfterNext HealthTech Acquisition Corp.,USD,NYSE,XNYS,United States,Unit
33078,AG,First Majestic Silver Corp,USD,NYSE,XNYS,United States,Common Stock
33092,AGAC,African Gold Acquisition Corporation,USD,NYSE,XNYS,United States,Common Stock
33093,AGAC.UN,African Gold Acquisition Corporation,USD,NYSE,XNYS,United States,Unit
33095,AGAC.WT,African Gold Acquisition Corpor,USD,NYSE,XNYS,United States,Common Stock
33114,AGCB,Altimeter Growth Corp. 2,USD,NYSE,XNYS,United States,Common Stock
33117,AGCO,AGCO Corp,USD,NYSE,XNYS,United States,Common Stock
33132,AGE,AgeX Therapeutics Inc,USD,NYSE,XASE,United States,Common Stock
33173,AGI,Alamos Gold Inc,USD,NYSE,XNYS,United States,Common Stock
33194,AGL,"agilon health, inc.",USD,NYSE,XNYS,United States,Common Stock
33208,AGM,Federal Agricultural Mortgage Corp,USD,NYSE,XNYS,United States,Common Stock
33209,AGM.A,Federal Agricultural Mortgage Corp,USD,NYSE,XNYS,United States,Common Stock
33210,AGM-C,Federal Agricultural Mortgage Corp,USD,NYSE,XNYS,United States,Preferred Stock
33211,AGM-D,Federal Agricultural Mortgage Corp,USD,NYSE,XNYS,United States,Preferred Stock
33214,AGM.PR.E,Federal Agricultural Mortgage Corporation,USD,NYSE,XNYS,United States,Preferred Stock
33215,AGM.PR.F,Federal Agricultural Mortgage Corporation,USD,NYSE,XNYS,United States,Preferred Stock
33216,AGM.PR.G,Federal Agricultural Mortgage Corporation,USD,NYSE,XNYS,United States,Preferred Stock
33236,AGO,Assured Guaranty Ltd,USD,NYSE,XNYS,United States,Common Stock
33243,AGR,Avangrid Inc,USD,NYSE,XNYS,United States,Common Stock
33263,AGRO,Adecoagro SA,USD,NYSE,XNYS,United States,Common Stock
33280,AGS,PlayAGS Inc,USD,NYSE,XNYS,United States,Common Stock
33296,AGTI,"Agiliti, Inc.",USD,NYSE,XNYS,United States,Common Stock
33305,AGX,Argan Inc,USD,NYSE,XNYS,United States,Common Stock
33359,AHH,Armada Hoffler Properties Inc,USD,NYSE,XNYS,United States,Unit
33360,AHH-A,Armada Hoffler Properties Inc,USD,NYSE,XNYS,United States,Preferred Stock
33382,AHL-C,Aspen Insurance Holdings Ltd,USD,NYSE,XNYS,United States,Preferred Stock
33383,AHL-D,Aspen Insurance Holdings Ltd,USD,NYSE,XNYS,United States,Preferred Stock
33384,AHL-E,Aspen Insurance Holdings Ltd,USD,NYSE,XNYS,United States,Preferred Stock
33416,AHT,Ashford Hospitality Trust Inc,USD,NYSE,XNYS,United States,REIT
33419,AHT-D,Ashford Hospitality Trust Inc,USD,NYSE,XNYS,United States,Preferred Stock
33420,AHT-F,Ashford Hospitality Trust Inc,USD,NYSE,XNYS,United States,Preferred Stock
33421,AHT-G,Ashford Hospitality Trust Inc,USD,NYSE,XNYS,United States,Preferred Stock
33422,AHT-H,Ashford Hospitality Trust Inc,USD,NYSE,XNYS,United States,Preferred Stock
33423,AHT-I,Ashford Hospitality Trust Inc,USD,NYSE,XNYS,United States,Preferred Stock
33433,AI,"C3.ai, Inc.",USD,NYSE,XNYS,United States,Common Stock
33471,AIC,Arlington Asset Investment Corp,USD,NYSE,XNYS,United States,Preferred Stock
33490,AIG,American International Group Inc,USD,NYSE,XNYS,United States,Common Stock
33492,AIG-A,American International Group Inc,USD,NYSE,XNYS,United States,Preferred Stock
33529,AIM,AIM ImmunoTech Inc,USD,NYSE,XASE,United States,Common Stock
33553,AIN,Albany International Corp,USD,NYSE,XNYS,United States,Common Stock
33555,AINC,Ashford Inc,USD,NYSE,XASE,United States,Common Stock
33567,AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund,USD,NYSE,XNYS,United States,Common Stock
33584,AIR,AAR Corp,USD,NYSE,XNYS,United States,Common Stock
33603,AIRC,Apartment Income REIT Corp.,USD,NYSE,XNYS,United States,Common Stock
33609,AIRI,Air Industries Group,USD,NYSE,XASE,United States,Common Stock
33633,AIT,Applied Industrial Technologies Inc,USD,NYSE,XNYS,United States,Common Stock
33638,AIU,Meta Data Limited,USD,NYSE,XNYS,United States,Common Stock
33639,AIV,Apartment Investment & Management Co,USD,NYSE,XNYS,United States,REIT
33660,AIZ,Assurant Inc,USD,NYSE,XNYS,United States,Common Stock
33663,AIZN,"Assurant, Inc. 5.25% Subordinat",USD,NYSE,XNYS,United States,Common Stock
33691,AJG,Arthur J Gallagher & Co,USD,NYSE,XNYS,United States,Common Stock
33714,AJRD,Aerojet Rocketdyne Holdings Inc,USD,NYSE,XNYS,United States,Common Stock
33721,AJX,Great Ajax Corp,USD,NYSE,XNYS,United States,REIT
33740,AKA,a.k.a. Brands Holding Corp.,USD,NYSE,XNYS,United States,Common Stock
33812,AKO.A,Embotelladora Andina SA,USD,NYSE,XNYS,United States,Depositary Receipt
33814,AKO.B,Embotelladora Andina SA,USD,NYSE,XNYS,United States,Depositary Receipt
33828,AKR,Acadia Realty Trust,USD,NYSE,XNYS,United States,REIT
33889,AL,Air Lease Corp,USD,NYSE,XNYS,United States,Common Stock
33906,AL-A,Air Lease Corp,USD,NYSE,XNYS,United States,Preferred Stock
33947,ALB,Albemarle Corp,USD,NYSE,XNYS,United States,Common Stock
33987,ALC,Alcon Inc,USD,NYSE,XNYS,United States,Common Stock
34000,ALCC,AltC Acquisition Corp.,USD,NYSE,XNYS,United States,Common Stock
34062,ALE,ALLETE Inc,USD,NYSE,XNYS,United States,Common Stock
34098,ALEX,Alexander & Baldwin Inc,USD,NYSE,XNYS,United States,REIT
