,symbol,name,currency,exchange,mic_code,country,type
31460,AAALF,Aareal Bank AG,USD,OTC,Grey,United States,Common Stock
31461,AAALY,Aareal Bank AG,USD,OTC,Pink,United States,American Depositary Receipt
31469,AABB,"Asia Broadband, Inc.",USD,OTC,Pink,United States,Common Stock
31470,AABVF,Aberdeen International Inc.,USD,OTC,Pink,United States,Common Stock
31478,AACAF,AAC Technologies Holdings Inc,USD,OTC,Pink,United States,Common Stock
31479,AACAY,AAC Technologies Holdings Inc,USD,OTC,Pink,United States,American Depositary Receipt
31486,AACS,"American Commerce Solutions, Inc.",USD,OTC,Pink,United States,Common Stock
31487,AACTF,Aurora Solar Technologies Inc.,USD,OTC,Pink,United States,Common Stock
31502,AAEEF,Altair Res Inc,USD,OTC,Pink,United States,Common Stock
31504,AAFRF,Airtel Africa Plc,USD,OTC,Pink,United States,Common Stock
31512,AAGC,All American Gold Corp.,USD,OTC,Pink,United States,Common Stock
31513,AAGEF,AAG Energy Holdings Limited,USD,OTC,Pink,United States,Common Stock
31514,AAGFF,Aftermath Silver Ltd.,USD,OTC,OTCQB,United States,Common Stock
31515,AAGH,America Great Health,USD,OTC,Pink,United States,Common Stock
31516,AAGIY,"AIA Group, Ltd.",USD,OTC,Pink,United States,American Depositary Receipt
31517,AAGRY,Astra Agro Lestari TBK,USD,OTC,Pink,United States,American Depositary Receipt
31521,AAHIF,"Asahi Co., Ltd.",USD,OTC,Pink,United States,Common Stock
31526,AAIGF,"AIA Group, Ltd.",USD,OTC,Pink,United States,Common Stock
31527,AAIIQ,"Alabama Aircraft Industries, Inc.",USD,OTC,Pink,United States,Common Stock
31531,AAIRF,"American Aires Inc,",USD,OTC,Pink,United States,Common Stock
31547,AALBF,A. Alberts Industries,USD,OTC,Pink,United States,Common Stock
31559,AAMAF,Atlas Mara Co Nvest Ltd.,USD,OTC,Pink,United States,Common Stock
31562,AAMMF,Almadex Minerals Ltd.,USD,OTC,Pink,United States,Common Stock
31565,AAMTF,Armada Mercantile Ltd.,USD,OTC,Pink,United States,Common Stock
31574,AANNF,Aroundtown SA,USD,OTC,Pink,United States,Common Stock
31585,AAPJ,"AAP, Inc.",USD,OTC,Pink,United States,Common Stock
31602,AAPT,"All American Pet Company, Inc.",USD,OTC,Pink,United States,Common Stock
